product_id,product_name,category,price,brand,created_at
73,Head,Sports,352.26,"Johnson, Clark and Davis",2026-01-02 18:10:23
74,Least,Sports,436.1,"Houston, Roberts and Vasquez",2026-04-25 20:04:29
75,National,Home,121.13,Jensen-Hughes,2026-01-25 01:48:59
76,Note,Electronics,393.12,"Robbins, Washington and Evans",2026-05-10 10:29:00
77,Lead,Fashion,186.62,Roth-Williams,2026-03-01 20:07:14
78,I,Books,102.83,Flores Ltd,2026-01-13 14:13:36
79,Admit,Sports,328.78,Hinton-Rodriguez,2026-01-21 11:26:22
80,Development,Sports,32.95,"Walker, Long and Macdonald",2026-01-20 15:18:27
81,Life,Electronics,147.25,Dickson Inc,2026-02-13 21:23:01
82,Avoid,Home,462.74,"Peterson, Anderson and Bishop",2026-02-07 11:34:52
83,Test,Home,449.02,Russell Inc,2026-02-27 03:44:55
84,Heavy,Books,378.96,Roman Group,2026-02-24 10:52:19
85,Choice,Fashion,269.86,"Williams, Skinner and Mcpherson",2026-04-17 00:32:00
86,Edge,Electronics,218.63,Jenkins Ltd,2026-05-25 11:38:18
87,Control,Electronics,198.6,Castillo and Sons,2026-04-16 08:10:20
88,Note,Fashion,319.79,"Romero, Griffin and Lopez",2026-01-12 00:05:11
89,This,Sports,206.92,Reid-Hernandez,2026-01-02 06:27:48
90,Adult,Fashion,280.46,Bryant-Escobar,2026-03-13 14:10:41
91,Everybody,Books,498.12,Nguyen Group,2026-02-26 01:27:13
92,Admit,Books,239.79,Ford-Hickman,2026-01-03 13:48:25
93,Provide,Sports,421.16,"Anderson, Knight and Strickland",2026-05-14 23:54:45
94,Various,Electronics,77.67,Adams-Perez,2026-03-09 22:02:16
95,Since,Home,280.05,Cooper Group,2026-03-27 07:08:05
96,Affect,Sports,263.31,Fletcher PLC,2026-01-17 15:29:58
97,Defense,Electronics,401.29,Moses LLC,2026-01-03 12:32:25
98,Note,Fashion,470.26,Stewart LLC,2026-03-28 16:35:19
99,Them,Fashion,264.9,Harris-Reilly,2026-03-16 21:23:21
100,Social,Home,366.72,Foley-White,2026-02-04 05:12:33
